# ---------------------------------- WARNING ----------------------------------------,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,
# may not have received Director's approval. Any such data values are qualified,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,
# for any damages resulting from its use.,,,,
#,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,
#,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,
#,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,
# retrieved: 2018-06-21 10:28:26 EDT       (vaww01),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
"#    USGS 08263500 RIO GRANDE NEAR CERRO, NM",,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 08263500,,,,
#            TS   parameter     statistic     Description,,,,
"#         99683       00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output:,,,,
#        ,,,,
#     A  Approved for publication -- Processing and review completed.,,,,
#     P  Provisional data subject to revision.,,,,
#     <  Actual value is known to be less than reported value.,,,,
#     e  Value has been estimated.,,,,
# ,,,,
agency,guage_no,date,discharge,discharge_code
USGS,8263500,10/1/1948,102,A
USGS,8263500,10/2/1948,104,A
USGS,8263500,10/3/1948,107,A
USGS,8263500,10/4/1948,105,A
USGS,8263500,10/5/1948,103,A
USGS,8263500,10/6/1948,103,A
USGS,8263500,10/7/1948,109,A
USGS,8263500,10/8/1948,107,A
USGS,8263500,10/9/1948,105,A
USGS,8263500,10/10/1948,111,A
USGS,8263500,10/11/1948,112,A
USGS,8263500,10/12/1948,113,A
USGS,8263500,10/13/1948,115,A
USGS,8263500,10/14/1948,117,A
USGS,8263500,10/15/1948,116,A
USGS,8263500,10/16/1948,115,A
USGS,8263500,10/17/1948,116,A
USGS,8263500,10/18/1948,115,A
USGS,8263500,10/19/1948,122,A
USGS,8263500,10/20/1948,126,A
USGS,8263500,10/21/1948,140,A
USGS,8263500,10/22/1948,140,A
USGS,8263500,10/23/1948,135,A
USGS,8263500,10/24/1948,135,A
USGS,8263500,10/25/1948,130,A
USGS,8263500,10/26/1948,135,A
USGS,8263500,10/27/1948,145,A
USGS,8263500,10/28/1948,145,A
USGS,8263500,10/29/1948,145,A
USGS,8263500,10/30/1948,145,A
USGS,8263500,10/31/1948,150,A
USGS,8263500,11/1/1948,150,A
USGS,8263500,11/2/1948,150,A
USGS,8263500,11/3/1948,155,A
USGS,8263500,11/4/1948,155,A
USGS,8263500,11/5/1948,155,A
USGS,8263500,11/6/1948,150,A
USGS,8263500,11/7/1948,140,A
USGS,8263500,11/8/1948,150,A
USGS,8263500,11/9/1948,145,A
USGS,8263500,11/10/1948,116,A
USGS,8263500,11/11/1948,189,A
USGS,8263500,11/12/1948,241,A
USGS,8263500,11/13/1948,285,A
USGS,8263500,11/14/1948,308,A
USGS,8263500,11/15/1948,340,A
USGS,8263500,11/16/1948,332,A
USGS,8263500,11/17/1948,332,A
USGS,8263500,11/18/1948,332,A
USGS,8263500,11/19/1948,270,A
USGS,8263500,11/20/1948,208,A
USGS,8263500,11/21/1948,278,A
USGS,8263500,11/22/1948,285,A
USGS,8263500,11/23/1948,300,A
USGS,8263500,11/24/1948,332,A
USGS,8263500,11/25/1948,375,A
USGS,8263500,11/26/1948,349,A
USGS,8263500,11/27/1948,324,A
USGS,8263500,11/28/1948,227,A
USGS,8263500,11/29/1948,278,A
USGS,8263500,11/30/1948,292,A
USGS,8263500,12/1/1948,308,A
USGS,8263500,12/2/1948,308,A
USGS,8263500,12/3/1948,332,A
USGS,8263500,12/4/1948,324,A
USGS,8263500,12/5/1948,285,A
USGS,8263500,12/6/1948,285,A
USGS,8263500,12/7/1948,300,A
USGS,8263500,12/8/1948,292,A
USGS,8263500,12/9/1948,300,A
USGS,8263500,12/10/1948,308,A
USGS,8263500,12/11/1948,300,A
USGS,8263500,12/12/1948,316,A
USGS,8263500,12/13/1948,340,A
USGS,8263500,12/14/1948,358,A
USGS,8263500,12/15/1948,384,A
USGS,8263500,12/16/1948,349,A
USGS,8263500,12/17/1948,349,A
USGS,8263500,12/18/1948,332,A
USGS,8263500,12/19/1948,332,A
USGS,8263500,12/20/1948,340,A
USGS,8263500,12/21/1948,340,A
USGS,8263500,12/22/1948,349,A
USGS,8263500,12/23/1948,384,A
USGS,8263500,12/24/1948,384,A
USGS,8263500,12/25/1948,316,A
USGS,8263500,12/26/1948,340,A
USGS,8263500,12/27/1948,332,A
USGS,8263500,12/28/1948,316,A
USGS,8263500,12/29/1948,300,A
USGS,8263500,12/30/1948,308,A
USGS,8263500,12/31/1948,308,A
USGS,8263500,1/1/1949,300,A
USGS,8263500,1/2/1949,332,A
USGS,8263500,1/3/1949,316,A
USGS,8263500,1/4/1949,270,A
USGS,8263500,1/5/1949,280,A
USGS,8263500,1/6/1949,290,A
USGS,8263500,1/7/1949,300,A
USGS,8263500,1/8/1949,310,A
USGS,8263500,1/9/1949,310,A
USGS,8263500,1/10/1949,310,A
USGS,8263500,1/11/1949,320,A
USGS,8263500,1/12/1949,320,A
USGS,8263500,1/13/1949,330,A
USGS,8263500,1/14/1949,330,A
USGS,8263500,1/15/1949,330,A
USGS,8263500,1/16/1949,320,A
USGS,8263500,1/17/1949,310,A
USGS,8263500,1/18/1949,308,A
USGS,8263500,1/19/1949,285,A
USGS,8263500,1/20/1949,278,A
USGS,8263500,1/21/1949,278,A
USGS,8263500,1/22/1949,270,A
USGS,8263500,1/23/1949,285,A
USGS,8263500,1/24/1949,292,A
USGS,8263500,1/25/1949,300,A
USGS,8263500,1/26/1949,308,A
USGS,8263500,1/27/1949,308,A
USGS,8263500,1/28/1949,308,A
USGS,8263500,1/29/1949,300,A
USGS,8263500,1/30/1949,292,A
USGS,8263500,1/31/1949,292,A
USGS,8263500,2/1/1949,292,A
USGS,8263500,2/2/1949,285,A
USGS,8263500,2/3/1949,278,A
USGS,8263500,2/4/1949,278,A
USGS,8263500,2/5/1949,278,A
USGS,8263500,2/6/1949,270,A
USGS,8263500,2/7/1949,285,A
USGS,8263500,2/8/1949,262,A
USGS,8263500,2/9/1949,285,A
USGS,8263500,2/10/1949,278,A
USGS,8263500,2/11/1949,278,A
USGS,8263500,2/12/1949,278,A
USGS,8263500,2/13/1949,270,A
USGS,8263500,2/14/1949,270,A
USGS,8263500,2/15/1949,270,A
USGS,8263500,2/16/1949,270,A
USGS,8263500,2/17/1949,292,A
USGS,8263500,2/18/1949,292,A
USGS,8263500,2/19/1949,292,A
USGS,8263500,2/20/1949,300,A
USGS,8263500,2/21/1949,308,A
USGS,8263500,2/22/1949,316,A
USGS,8263500,2/23/1949,332,A
USGS,8263500,2/24/1949,349,A
USGS,8263500,2/25/1949,366,A
USGS,8263500,2/26/1949,375,A
USGS,8263500,2/27/1949,375,A
USGS,8263500,2/28/1949,375,A
USGS,8263500,3/1/1949,393,A
USGS,8263500,3/2/1949,402,A
USGS,8263500,3/3/1949,412,A
USGS,8263500,3/4/1949,430,A
USGS,8263500,3/5/1949,440,A
USGS,8263500,3/6/1949,460,A
USGS,8263500,3/7/1949,480,A
USGS,8263500,3/8/1949,532,A
USGS,8263500,3/9/1949,545,A
USGS,8263500,3/10/1949,532,A
USGS,8263500,3/11/1949,510,A
USGS,8263500,3/12/1949,520,A
USGS,8263500,3/13/1949,520,A
USGS,8263500,3/14/1949,500,A
USGS,8263500,3/15/1949,480,A
USGS,8263500,3/16/1949,460,A
USGS,8263500,3/17/1949,470,A
USGS,8263500,3/18/1949,480,A
USGS,8263500,3/19/1949,470,A
USGS,8263500,3/20/1949,450,A
USGS,8263500,3/21/1949,421,A
USGS,8263500,3/22/1949,375,A
USGS,8263500,3/23/1949,340,A
USGS,8263500,3/24/1949,358,A
USGS,8263500,3/25/1949,332,A
USGS,8263500,3/26/1949,316,A
USGS,8263500,3/27/1949,285,A
USGS,8263500,3/28/1949,255,A
USGS,8263500,3/29/1949,248,A
